"","X","acousticness","artists","danceability","duration","energy","id","instrumentalness","key","liveness","loudness","mode","names","popularity","preview_url","speechiness","tempo","time_signature","valence","cluster","pc1","pc2","membership.1","membership.2","membership.3","membership.4","membership.5","membership.6","membership.7"
"1794",1793,0.0213,"Seratones",0.377,248991,0.928,"2wRXgh0weYTrOajLR5VfJV",0.0135,4,0.135,-3.747,1,"Don't Need It",29,"https://p.scdn.co/mp3-preview/208473e7efade31d75e60a9f03b2be14c031ae07?cid=4a1a457d14c0445a96e7021a5523905b",0.0477,115.113,4,0.518,2,1.38044578357893,-0.685782112702886,0.00327613465288517,0.198815828141644,0.198815823877868,0.198815823372148,0.00264473805818589,0.198815828130017,0.198815823767252
"1795",1794,0.225,"Culture Club",0.668,252773,0.73,"2wSAWEYUHkt92X4SBAPqZE",0,10,0.188,-7.182,1,"Karma Chameleon - 2002 - Remaster",63,"https://p.scdn.co/mp3-preview/8b28b40dfcd68fc49b8a06f5acca1bb6dba5d138?cid=4a1a457d14c0445a96e7021a5523905b",0.0366,92.049,4,0.912,2,1.7211862926145,0.486252622991101,0.00559129081964646,0.197584244871701,0.197584240432463,0.197584239984773,0.00648749862693871,0.197584244859259,0.197584240405218
"1796",1795,0.982,"Set and Setting",0.477,154067,0.289,"2WsPrOt50cMqtRVzB3QTC3",0.0191,0,0.109,-14.912,0,"Eternal Pendulum",53,"https://p.scdn.co/mp3-preview/e803655f85f5585c062f3cdd3c2f46ab6c165590?cid=4a1a457d14c0445a96e7021a5523905b",0.029,148.568,4,0.628,4,-0.843418063642863,-0.628062086017485,0.0768659425022751,0.179944174305685,0.179944175036997,0.179944175054141,0.0234131838140681,0.179944174307825,0.179944174979009
"1797",1796,0.155,"Rascal Flatts",0.627,185493,0.903,"2WsWOqZk5YKJD1WTGKihRp",0,8,0.277,-2.714,1,"Love You Out Loud",40,"https://p.scdn.co/mp3-preview/8a968cf07b451f17ce1108285404c70a224c308c?cid=4a1a457d14c0445a96e7021a5523905b",0.0426,96.987,4,0.468,2,1.60450972687164,0.146421991628305,0.00184362784700507,0.199178446105477,0.199178440969315,0.199178440385843,0.00226415773621533,0.199178446091384,0.199178440864761
"1798",1797,0.811,"Aziz Ansari",0.604,202086,0.955,"2WU1mdvHVYwTm6sWqwzhdm",0,1,0.864,-3.572,1,"25 and Pregnant",39,"https://p.scdn.co/mp3-preview/025a4e1e30ff326652ab8bfe50dd5cd6a4e2ada3?cid=4a1a457d14c0445a96e7021a5523905b",0.677,108.552,4,0.395,2,0.60730413651245,2.23724781345023,0.0326711599737534,0.162730856165599,0.162730856108337,0.162730856089477,0.153674559403873,0.162730856165405,0.162730856093555
"1799",1798,1.63e-05,"Sodom",0.262,365320,0.988,"2Wu6LMO0Rx6Aa4LPHH1T95",0.733,4,0.21,-4.939,0,"Agent Orange",41,"https://p.scdn.co/mp3-preview/6fc3f1fde1685ff9236ca6fd73b54e0e53624d98?cid=4a1a457d14c0445a96e7021a5523905b",0.117,113.663,4,0.261,6,0.506928097747188,-1.97297769690625,0.0336095214151545,0.191115242156435,0.191115242126413,0.191115242049447,0.0108142680520245,0.191115242156542,0.191115242043984
"1801",1800,0.895,"Paula Cole",0.252,262613,0.192,"2Wdk9vyCWajpcSIPaMEhNZ",0.000594,5,0.0894,-13.362,1,"Hush, Hush, Hush. - Remastered",18,"https://p.scdn.co/mp3-preview/b1f67d6390531aec686707d768a0d5089c00258f?cid=4a1a457d14c0445a96e7021a5523905b",0.0375,68.021,4,0.195,1,-2.6146217597872,-0.326093000840342,0.514969482924919,0.0861223055341607,0.0861223067840414,0.08612230686586,0.0544189856105983,0.0861223055377225,0.0861223067426983
"1802",1801,0.13,"Miner",0.65,186347,0.906,"2wDQPL8izXMF5hvH15uzb0",0,1,0.0949,-5.325,0,"Last Night",30,"https://p.scdn.co/mp3-preview/8b4a149861c76ad242d9efff3ac83592f5751118?cid=4a1a457d14c0445a96e7021a5523905b",0.0318,109.041,4,0.77,2,1.80693257001526,0.251072507564985,0.00265101407570936,0.198815539501209,0.198815531573614,0.198815530822714,0.00327131296868229,0.198815539479142,0.19881553157893
"1803",1802,0.744,"Margaret Cho",0.515,399373,0.85,"2WDYNFzXXGYTMiLAEIchpV",0,6,0.678,-10.799,1,"The Grammys",8,"https://p.scdn.co/mp3-preview/e78dc9f19bdef500750421b904b29a9b7effc954?cid=4a1a457d14c0445a96e7021a5523905b",0.922,65.422,4,0.103,5,-1.36254305430556,3.21202278289143,0.0396219961276303,0.0716532393012016,0.0716532396579313,0.0716532396804699,0.602111806285329,0.0716532393021911,0.0716532396452472
"1804",1803,0.000193,"Buzzcocks",0.193,163360,0.945,"2wdZA7WFwatJufJWVEyyfY",1.53e-06,7,0.616,-3.348,1,"What Do I Get?",27,"https://p.scdn.co/mp3-preview/c18b35203342e90aad5eced4012a14078aa40005?cid=4a1a457d14c0445a96e7021a5523905b",0.0511,94.89,4,0.35,3,0.965388549738065,-0.560556813977805,0.022173236066698,0.191772483986087,0.191772484165145,0.191772484115311,0.018964343589379,0.191772483986666,0.191772484090714
"1805",1804,0.0293,"Sebastian Yatra",0.766,208720,0.747,"2webQDZmtGioeu3zUUi9We",0,1,0.38,-3.95,0,"Traicionera - Remix",76,"https://p.scdn.co/mp3-preview/c7662cdac1c65a8071fb99f7425e39c83edf6acc?cid=4a1a457d14c0445a96e7021a5523905b",0.0619,91.06,4,0.858,2,2.53801695246137,0.367873405383209,0.006919717731239,0.196997318401466,0.196997313125196,0.196997312644607,0.00809370656057122,0.19699731838677,0.19699731315015
"1806",1805,0.666,"Jean-Michel Blais",0.422,312480,0.439,"2WeZN6FqVsef11Y21HhGig",0.502,4,0.107,-13.509,0,"Hypocrite",23,"https://p.scdn.co/mp3-preview/52b5f07b423a827ff80c176efbee24e6b2dcd757?cid=4a1a457d14c0445a96e7021a5523905b",0.0334,153.906,4,0.238,1,-1.38560390373149,-1.29513269698245,0.187883088349377,0.158252945241768,0.158252947726444,0.158252947874047,0.0208521779320806,0.158252945248884,0.1582529476274
"1807",1806,0.905,"Victoria Wood",0.642,313573,0.594,"2Wg86oQuUBSyuWMwzrWdcs",0,2,0.92,-8.997,0,"Barry And Freda - Live",25,"https://p.scdn.co/mp3-preview/dce2fcbaf0bd7896677995f23ec76be919b98db4?cid=4a1a457d14c0445a96e7021a5523905b",0.44,116.798,4,0.666,5,-0.0792165754561757,2.45274948539426,0.0375883672635012,0.15767692322396,0.157676923452572,0.157676923463059,0.174027015932088,0.157676923224584,0.157676923440236
"1808",1807,0.312,"Bret Michaels",0.705,205918,0.77,"2wHQsOweTm4USOdjlmBhwp",0,1,0.0993,-5.172,1,"Girls on Bars",16,"https://p.scdn.co/mp3-preview/a8b4c020623742388f13d36c4c5bc1138a40f2a0?cid=4a1a457d14c0445a96e7021a5523905b",0.0561,105.911,4,0.828,2,1.31467315111127,0.882120130662915,0.00518704573651666,0.197267735291189,0.19726772989704,0.197267729385843,0.0084742945125564,0.197267735276218,0.197267729900637
"1809",1808,0.0334,"Gwen Stefani",0.741,216947,0.72,"2WIxwn8LZRI7knO1VbwdaE",1e-05,5,0.128,-4.702,0,"Make Me Like You",56,"https://p.scdn.co/mp3-preview/4048f6ee89b3dea7cdc8d18eaf32ed6029ec6631?cid=4a1a457d14c0445a96e7021a5523905b",0.0486,118.031,4,0.825,2,2.20020132204901,0.213208092323824,0.00170511904602123,0.199238056458982,0.199238047539955,0.199238046689539,0.00210462629150534,0.199238056434316,0.199238047539681
"1810",1809,0.987,"Bruno Bavota",0.308,177000,0.128,"2WJGRRRZ35beKytyV9h476",0.93,3,0.115,-18.791,0,"La luce nel cuore",62,"https://p.scdn.co/mp3-preview/1603e25c853dda791b044fc74c26cdc54305e610?cid=4a1a457d14c0445a96e7021a5523905b",0.0572,71.894,4,0.0694,1,-3.43532083364079,-1.96530456188479,0.878657496378538,0.022017861095543,0.0220178613450061,0.022017861362738,0.011253197383613,0.022017861096247,0.0220178613383152
