"","X","acousticness","artists","danceability","duration","energy","id","instrumentalness","key","liveness","loudness","mode","names","popularity","preview_url","speechiness","tempo","time_signature","valence","cluster","pc1","pc2","membership.1","membership.2","membership.3","membership.4","membership.5","membership.6","membership.7"
"844",843,0.0122,"Camel",0.195,440000,0.607,"3qEKk7UlpfPPMyfouHhgi6",0.0133,3,0.28,-8.519,1,"Echoes",26,"https://p.scdn.co/mp3-preview/b0c55f3d3734e1405ebd5e1fbee998cd55873208?cid=4a1a457d14c0445a96e7021a5523905b",0.0312,153.764,4,0.485,3,0.135360105974499,-1.71783262522058,0.0446481200353269,0.186231685306476,0.186231690279933,0.0241934408290109,0.186231685314426,0.186231690279088,0.186231687955739
"845",844,0.0467,"Usher",0.514,208520,0.742,"3qEqxHQFSR6aFH0GKkWKrm",5.1e-05,1,0.146,-6.754,1,"Wait For It",57,"https://p.scdn.co/mp3-preview/055392d5255cfa7be3d41dbdfdb66e403d461f7e?cid=4a1a457d14c0445a96e7021a5523905b",0.109,183.979,4,0.458,2,1.74720453726674,-1.10559165400177,0.00830069339021684,0.196801073036027,0.196801035287386,0.007694036948246,0.196801072977029,0.19680103529334,0.196801053067755
"846",845,0.00249,"Matt Pond PA",0.555,251241,0.762,"3qEzgPFbtr5PZQPZ3HfZ3v",0,11,0.0789,-7.609,1,"Whoa",49,"https://p.scdn.co/mp3-preview/9fb6589e5a9c851fdf4117e75b9b35dea1697dff?cid=4a1a457d14c0445a96e7021a5523905b",0.0334,91.026,4,0.677,2,1.33434313418443,-0.0536491460431826,0.0063754963926172,0.197282420346032,0.197282364834569,0.00721254235985488,0.197282420259758,0.197282364842644,0.197282390964525
"847",846,0.758,"Dmitri Shostakovich",0.462,245587,0.624,"3qFIwHZMt9EOhNjouKSstx",0.919,5,0.269,-8.213,0,"Symphony No. 10 in E Minor, Op. 93: II. Allegro",28,"https://p.scdn.co/mp3-preview/f485dd31a7b14a791222ad2457ca4800916a9aa6?cid=4a1a457d14c0445a96e7021a5523905b",0.0631,88.205,4,0.335,1,-1.3040773336655,-0.703088103272529,0.198730184862509,0.152909116196444,0.152909135246442,0.0367241859308495,0.152909116226379,0.152909135243555,0.152909126293821
"848",847,0.265,"Chris Isaak",0.558,213267,0.508,"3qFSNhAr1AnMjFXZZ4pwgq",0.0185,3,0.0957,-12.447,1,"Two Hearts",32,"https://p.scdn.co/mp3-preview/6066a194dea3f1afea0f1e3deee468aa576d9882?cid=4a1a457d14c0445a96e7021a5523905b",0.0382,75.842,4,0.43,2,-0.239395661035396,0.319018384049067,0.0166996479671178,0.194111492316422,0.194111479353164,0.0127429232169346,0.194111492296862,0.194111479354538,0.194111485494961
"849",848,0.0356,"Miley Cyrus",0.42,203680,0.65,"3qhIhyu9Sl8lyF43vNt9Dv",0,0,0.0873,-3.679,1,"I Learned From You",32,"https://p.scdn.co/mp3-preview/cca41ce0000dc69df66ebee914fe360627ca8ff0?cid=4a1a457d14c0445a96e7021a5523905b",0.0271,149.928,3,0.302,2,1.03397347102752,-1.12044170983327,0.00929512714547171,0.196791787684089,0.196791762753171,0.00674599749990567,0.196791787645259,0.196791762757008,0.196791774515094
"850",849,0.991,"Amy Beach",0.068,375120,0.0103,"3QI3LjBqsB4tuaDgR2jOyU",0.92,5,0.109,-28.459,1,"4 Sketches, Op. 15: No. 3. Dreaming (arr. for cello and piano)",39,"https://p.scdn.co/mp3-preview/ea8cd08cc6d0960d5dba3ad23cbb27159a094533?cid=4a1a457d14c0445a96e7021a5523905b",0.0391,71.015,4,0.0347,1,-5.16989124867853,-2.06351596402739,0.929205081331738,0.0112816474966437,0.011281649189263,0.01438667690058,0.0112816474992831,0.0112816491890028,0.0112816483934897
"851",850,0.644,"Solar Plexus",0.334,231480,0.585,"3Pvdnp2D8zHaPchDQZoSA1",0.201,0,0.229,-10.265,1,"A Real Goodun'",24,"https://p.scdn.co/mp3-preview/0c2521ea7913bf8d2656c397f727cd4b0981760b?cid=4a1a457d14c0445a96e7021a5523905b",0.033,161.699,4,0.716,3,-0.104650432595283,-0.503754935772182,0.0360504413232938,0.188532718045752,0.188532726783354,0.021285946314706,0.188532718059619,0.188532726782137,0.188532722691138
"852",851,0.973,"Martin Luther King, Jr.",0.682,297280,0.236,"3pVN9EEu2kUM8k8onqLMWa",2.05e-06,7,0.13,-13.982,0,"Nobel Prize Acceptance Speech (December 10, 1964), Pt. 1",12,"https://p.scdn.co/mp3-preview/6e888f3fd39631062f1d156695ee55a13355e4f1?cid=4a1a457d14c0445a96e7021a5523905b",0.895,121.677,4,0.213,4,-2.36359037471844,2.72529692227718,0.0192864084547398,0.0202108727566833,0.020210874914322,0.879659222300194,0.0202108727600388,0.0202108749139752,0.0202108739000468
"853",852,0.00229,"Soundgarden",0.251,262107,0.701,"3PVZPFC3V35C0wHJpHuXGI",0.0394,7,0.104,-6.086,0,"Beyond The Wheel",18,"https://p.scdn.co/mp3-preview/e037e81f362d249c81220f9b746bf69ee45060bc?cid=4a1a457d14c0445a96e7021a5523905b",0.0426,146.216,4,0.328,2,0.406251012076399,-1.30589228875172,0.0189744099344965,0.193711190454515,0.19371118951826,0.012469640137354,0.19371119045364,0.193711189518099,0.193711189983636
